muni,yhat_1,yhat_2,yhat_3
1281032,0.09384934,0.08270658,0.10738027
1281033,0.13616088,0.12688845,0.10113446
1281034,0.43803117,0.39463854,0.36705086
1281035,0.17146657,0.16791853,0.1817328
1281037,0.21590707,0.2026756,0.18353765
1281038,0.08630887,0.06133594,0.09449545
1281039,0.3939391,0.39685786,0.3454017
1281040,0.14690843,0.112718366,0.12508588
1281041,0.11152464,0.096771516,0.1083149
1281042,0.34135032,0.25313348,0.30763185
1281043,0.19592881,0.1686184,0.1579223
1291001,0.15205184,0.14311256,0.18617979
1291002,0.1469131,0.108242646,0.14761053
1291003,0.30640253,0.28694212,0.269737
1291004,0.34819722,0.35647127,0.3730976
1291005,0.13017918,0.10305546,0.123445645
1291006,0.18119156,0.20642763,0.19823799
1291007,0.30468655,0.28925833,0.371795
1291008,0.27328208,0.25367415,0.31774798
1291009,0.21664932,0.23708066,0.18833569
1291010,0.1857275,0.11926012,0.1822439
1291011,0.3065148,0.2714812,0.26644588
1291012,0.31015858,0.312834,0.37206247
1291013,0.28550532,0.2539719,0.28131226
1291014,0.34025434,0.25249368,0.2694603
1291015,0.19406714,0.21064821,0.20770486
1291016,0.27481994,0.2492136,0.3249326
1291017,0.29338282,0.28904545,0.2942339
1291018,0.26266488,0.27322954,0.27108333
1291019,0.21921259,0.21009184,0.2245094
1291020,0.21934138,0.20803179,0.16602835
1291021,0.14529759,0.18905762,0.16803452
1291022,0.25222424,0.21487567,0.24388239
1291023,0.30865782,0.28613517,0.29179206
1291024,0.16689338,0.1406937,0.18065253
1291025,0.26849455,0.2529734,0.26520923
1291026,0.14695024,0.1738668,0.18128382
1291027,0.24508373,0.25477654,0.27591708
1291028,0.26188713,0.28472176,0.28683522
1291029,0.17838104,0.17953229,0.2659199
1291030,0.40866894,0.39698362,0.4887997
1291031,0.14551874,0.14381564,0.143985
1291032,0.28119308,0.240866,0.23310271
1291033,0.080339864,0.07880206,0.11940727
1291034,0.31015858,0.19831894,0.24821752
1291035,0.27574387,0.2377128,0.23737234
1291036,0.1343983,0.10305546,0.14502329
1291037,0.40680194,0.38532346,0.5152834
1291038,0.15059403,0.12058196,0.1384491
1291039,0.2395544,0.19061625,0.24763638
1291040,0.2753256,0.24097005,0.26495185
1291041,0.24437658,0.17641982,0.24080855
1291042,0.17482822,0.123749405,0.18807092
1291043,0.076823354,0.07342331,0.09345969
1291044,0.20629616,0.15074871,0.19272706
1291045,0.29526946,0.20181683,0.2278734
1291046,0.4605304,0.4589752,0.45688927
1291047,0.3033802,0.23590112,0.27024657
1291048,0.27843663,0.2549125,0.25766885
1291049,0.19950435,0.16730732,0.21634343
1291050,0.31469402,0.3046454,0.34409738
1291051,0.17088749,0.1980434,0.23103568
1291052,0.26491022,0.31275123,0.36127913
1291053,0.22296385,0.25381616,0.28800988
1291054,0.20629616,0.23191576,0.25080633
1291056,0.28220075,0.24751914,0.24545568
1291057,0.34100333,0.24785663,0.37299114
1291058,0.24469991,0.26781604,0.26809666
1291059,0.29520586,0.2397546,0.28131756
1291060,0.25434744,0.26710868,0.22849794
1301001,0.40611246,0.3466996,0.43516093
1301002,0.39565468,0.37684843,0.40719584
1301003,0.16437508,0.21751335,0.20781821
1301004,0.29299557,0.21795774,0.2890015
1301005,0.24798313,0.24515134,0.29291242
1301006,0.44314656,0.3924483,0.42884737
1301007,0.317611,0.26653278,0.31955
1301008,0.5913654,0.58692086,0.51630074
1301009,0.32721782,0.25500888,0.2960871
1301010,0.49830794,0.4489528,0.52133816
1301011,0.17150971,0.11932541,0.2274142
1301012,0.48610258,0.38509208,0.37194297
1301013,0.1435946,0.09329652,0.17354497
1301014,0.20588018,0.21307264,0.22720127
1301015,0.28910074,0.24727866,0.3106052
1301016,0.09993445,0.059929285,0.08889127
1301017,0.25308162,0.1976258,0.20392318
1301019,0.6994105,0.5807838,0.5998413
1301020,0.8209102,0.64695746,0.688209
1301021,0.21796536,0.23340806,0.28050813
1301022,0.46518862,0.44101357,0.5316392
1301023,0.5015124,0.5181929,0.5081952
1301024,0.38971436,0.38195202,0.41919276
1301025,0.47154,0.49736577,0.6223349
1301026,0.13179469,0.108242646,0.12019712
1301027,0.6926099,0.58942914,0.5495869
1301028,0.080339864,0.0482077,0.095209725
1301029,0.72159433,0.66825217,0.7038469
1301030,0.18390921,0.15464783,0.2075544
1301031,0.3863564,0.4067022,0.41927838
1301032,0.25884882,0.33040544,0.28558287
1301033,0.4268808,0.39799166,0.37890902
1301034,0.14663623,0.12975062,0.12800348
1301035,0.39937547,0.4914395,0.40160486
1301036,0.29537997,0.28018916,0.28493986
1301037,0.50333065,0.5521093,0.48269954
1301038,0.14087568,0.107544765,0.1445251
1301039,0.09267894,0.072281435,0.12812546
1301040,0.16164775,0.13089295,0.12544313
1301042,0.4002912,0.39487225,0.39131796
1301043,0.5024808,0.5242279,0.49504095
1301044,0.15893787,0.13492084,0.1467519
1301045,0.15567979,0.18924078,0.22962551
1301046,0.48382542,0.48946998,0.50187415
1301047,0.4001288,0.4597764,0.41885555
1301048,0.15893787,0.17996475,0.16110852
1301049,0.20049872,0.14552426,0.22692664
1301050,0.4074974,0.4456771,0.45273495
1301051,0.4788303,0.49395645,0.48319548
1301052,0.27183366,0.27387807,0.276906
1301053,0.19532342,0.17786396,0.23242901
1301054,0.30357265,0.24382748,0.2715527
1301055,0.42410526,0.57193863,0.4002846
1301056,0.5432732,0.57636094,0.4471363
1301057,0.7202065,0.6299398,0.6244894
1301058,0.5321108,0.59792775,0.49825254
1301059,0.23961702,0.2668338,0.25606936
1301060,0.27761754,0.3214619,0.24472404
1301061,0.29363146,0.32591844,0.2572916
1301062,0.35873628,0.38662645,0.35737967
1301063,0.4512942,0.52534604,0.45547318
1301065,0.14087568,0.10260019,0.12599987
1301066,0.3991578,0.4099789,0.35330832
1301067,0.7375701,0.6713264,0.734624
1301068,0.13543847,0.108242646,0.15193136
1301069,0.19142434,0.27273253,0.26163876
1301070,0.47088742,0.4432629,0.4500037
1301071,0.24817681,0.31755564,0.3311333
1301072,0.36485454,0.3758013,0.34286097
1301073,0.45945463,0.3637677,0.40278825
1301074,0.20985657,0.20683864,0.20473664
1301075,0.34985235,0.3140756,0.3455383
1301076,0.72226024,0.71575856,0.7653815
1301077,0.22157583,0.2264024,0.23843457
1301078,0.5772024,0.4681028,0.47176364
1301079,0.5463981,0.57143664,0.6001121
1301080,0.4574555,0.47017452,0.47606477
1301081,0.1472146,0.1689859,0.20617932
1301082,0.17073596,0.20203428,0.19014771
1301083,0.61667424,0.56112975,0.5588057
1301084,0.28851274,0.24756202,0.27483466
1301085,0.14269398,0.12035073,0.174042
1301086,0.36257723,0.36607677,0.4620412
1301087,0.11116273,0.072544485,0.11578843
1301088,0.3586637,0.26689702,0.31832457
1301089,0.18447822,0.22758102,0.2188663
1301090,0.19644374,0.1400433,0.18427485
1301091,0.41023445,0.39947733,0.3708795
1301092,0.34563556,0.31762528,0.35653475
1301093,0.2580055,0.23404823,0.26138365
1301094,0.25978738,0.3240522,0.26787618
1301095,0.40443125,0.49978408,0.44229066
1301097,0.13764247,0.09059171,0.19111803
1301099,0.35932913,0.38152468,0.35095066
1301100,0.22384393,0.16252127,0.26321673
1301101,0.269424,0.37058932,0.31604415
1301102,0.14685269,0.13701403,0.18823627
1301103,0.72573334,0.6143792,0.6303376
1301104,0.5213172,0.47421142,0.54142886
1301105,0.12293887,0.068191834,0.12358417
1301106,0.45004207,0.41604492,0.50427943
1301108,0.1359534,0.119645394,0.14179865
1301109,0.2682184,0.2895767,0.2627772
1301110,0.844179,0.8239112,0.7772661
1301111,0.24050033,0.24249056,0.22627088
1301112,0.22284259,0.20235898,0.24827224
1301113,0.39727148,0.39344168,0.43229243
1301114,0.30377293,0.31503645,0.32565778
1301115,0.18540417,0.15584786,0.212446
1301116,0.19005024,0.2623378,0.18577828
1301117,0.47338104,0.41867897,0.45175296
1301118,0.123099394,0.10276338,0.13044062
1301119,0.19644374,0.17947303,0.20101653
1301120,0.26988092,0.2479768,0.22040388
1301121,0.33789453,0.31827864,0.27946734
1301122,0.53689665,0.44761142,0.51169354
1301123,0.2272633,0.21860878,0.21243177
1301124,0.17949349,0.20536645,0.22136302
1301125,0.26916462,0.25223666,0.24399062
1301126,0.21345505,0.17121796,0.21872291
1301127,0.81776446,0.6665745,0.7814591
1301128,0.28550532,0.23768136,0.28752455
1301129,0.35493684,0.40165684,0.35660577
1301130,0.36246687,0.37457395,0.34267917
1301131,0.13223329,0.10612651,0.13803828
1301132,0.3556369,0.29772478,0.32390347
